.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
I_12hrsS1_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_12hrsS1_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_12hrsS3_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_12hrsS3_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_24hrsS1_Data1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
I_24hrsS1_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_24hrsS2_Data1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
I_24hrsS2_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_24hrsS3_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_24hrsS3_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_4hrsS1_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_4hrsS1_Data2	1	1	0.5	1	0.5	0.5	1	0.5	0.25	1	1
I_4hrsS2_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_4hrsS2_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_4hrsS3_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_4hrsS3_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_72hrsS1_Data1	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	1
I_72hrsS1_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_72hrsS2_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
I_72hrsS2_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
I_72hrsS3_Data1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
I_72hrsS3_Data2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
U_12hrsN1_Data1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
U_12hrsN1_Data2	1	1	0.5	1	0.5	0.5	1	0.5	0.25	1	1
U_12hrsN2_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_12hrsN2_Data2	1	1	0.5	1	0.5	0.5	1	0.5	0.25	1	1
U_24hrsN1_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_24hrsN1_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_24hrsN2_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_24hrsN2_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_4hrsN1_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_4hrsN1_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_4hrsN2_Data1	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
U_4hrsN2_Data2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
U_72hrsN1_Data1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
U_72hrsN1_Data2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
U_72hrsN2_Data1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
U_72hrsN2_Data2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
