Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
I_12hrsS1_Data1	(1, 0.04525561886328039)	(2, 0.0008717796268280642)	(3, 0.0019332995253775304)	(4, 0.0)	(5, 0.0)	(6, 0.00019999650262526178)	(7, 0.00243072672421472)	(8, 0.0004564022752217512)	(9, 0.0)	(12, 0.0004922990833852597)	(17, 3.9999300525052354e-05)	(22, 0.0002625595111388052)	(27, 0.0002625595111388052)	(32, 0.00016717656373291113)	(37, 0.00012512601702708686)	(42, 0.00010358793212898173)	(47, 0.00013333100175017454)	(52, 3.89736774346664e-05)	(57, 7.384486250778897e-05)	(62, 0.0014727947577942355)	(67, 0.00013743349411171835)	(72, 3.487118507312257e-05)	(77, 1.5384346355789366e-05)	(82, 0.004762993631752388)	(87, 0.018886849209457414)	(92, 0.00045435102904097934)	(97, 0.03618705949808775)	(102, 1.3336101908089452e-05)	(107, 1.1292288349486388e-05)	(112, 1.9520161753512158e-05)	(117, 0.00020978773738433728)	(122, 0.07194622999129634)	(127, 0.00017627393455987899)	(132, 8.2588741628689e-06)	(137, 8.169728572350584e-05)	(142, 0.00025593733957611823)	(147, 0.0002637691795371401)
I_12hrsS1_Data2	(1, 0.00018461215626947242)	(2, 8.204984723087663e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 5.128115451929789e-06)	(8, 0.0)	(9, 0.0)	(12, 0.0025938007955860877)	(17, 0.00013435662484056048)	(22, 7.179361632701705e-06)	(27, 4.2050546705824273e-05)	(32, 7.487048559817493e-05)	(37, 0.00011692103230399921)	(42, 2.5640577259648948e-05)	(47, 0.0001271772632078588)	(52, 6.56398777847013e-05)	(57, 2.2563707988491073e-05)	(62, 7.384486250778897e-05)	(67, 1.6409969446175326e-05)	(72, 0.00015692033282905155)	(77, 2.0512461807719157e-05)	(82, 6.871674705585917e-05)	(87, 0.00014051036338287622)	(92, 7.999860105010471e-05)	(97, 9.538294740589408e-05)	(102, 9.130254800175038e-05)	(107, 0.00010471629568198351)	(112, 0.0010089785010210565)	(117, 2.8798189038224416e-05)	(122, 5.766153916234794e-05)	(127, 3.814913786814885e-05)	(132, 4.646792596329379e-05)	(137, 0.00039515841564688296)	(142, 4.042697059013561e-05)	(147, 0.0001579637475277894)
I_12hrsS3_Data1	(1, 0.04815404921030737)	(2, 0.0009221216281644251)	(3, 0.0021391077304511955)	(4, 0.0)	(5, 0.0)	(6, 0.0002144468902707966)	(7, 0.00249830627165478)	(8, 0.0004503384695686728)	(9, 0.0)	(12, 0.0004825055031092923)	(17, 3.431150244332745e-05)	(22, 0.0002573362683249559)	(27, 0.0002573362683249559)	(32, 0.00019085773234100897)	(37, 0.000125451430808416)	(42, 8.79232250110266e-05)	(47, 0.0001436794164814337)	(52, 4.610608140822126e-05)	(57, 6.111736372717703e-05)	(62, 0.001366026691024974)	(67, 0.0001372460097733098)	(72, 3.860044024874338e-05)	(77, 1.7155751221663727e-05)	(82, 0.006292943994996525)	(87, 0.018503549927015684)	(92, 0.0004803610342065843)	(97, 0.0353890980669382)	(102, 2.252210633216205e-05)	(107, 1.5025391301436072e-05)	(112, 2.2556366991618344e-05)	(117, 0.00022364466681605702)	(122, 0.07003182262554918)	(127, 0.0001875767467833903)	(132, 8.638528402498756e-06)	(137, 7.465579297468214e-05)	(142, 0.00027653804986798724)	(147, 0.0002685099129348454)
I_12hrsS3_Data2	(1, 0.00023053040704110628)	(2, 0.00012330696190570803)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.6805861283849574e-05)	(8, 0.0)	(9, 0.0)	(12, 0.002579796089957683)	(17, 0.00011365685184352218)	(22, 7.5056411594778796e-06)	(27, 3.7528205797389394e-05)	(32, 7.183970824071685e-05)	(37, 0.00012974036861383194)	(42, 1.930022012437169e-05)	(47, 0.0001125846173921682)	(52, 5.790066037311507e-05)	(57, 2.6805861283849574e-05)	(62, 7.720088049748676e-05)	(67, 1.7155751221663727e-05)	(72, 0.0001436794164814337)	(77, 1.8227985673017707e-05)	(82, 7.934534940019472e-05)	(87, 0.00015225729209226557)	(92, 6.86230048866549e-05)	(97, 9.32843972677965e-05)	(102, 8.794467293376135e-05)	(107, 0.00010947647117192042)	(112, 0.0010355328710359394)	(117, 2.0431416016277343e-05)	(122, 5.060253678699451e-05)	(127, 4.3129300759526394e-05)	(132, 3.2401825142967385e-05)	(137, 0.0004025962305369479)	(142, 3.796953053658812e-05)	(147, 0.0001544763604934323)
I_24hrsS1_Data1	(1, 0.039594239481774686)	(2, 0.0)	(3, 0.00010724861716314245)	(4, 0.0)	(5, 0.0)	(6, 0.0002486217943327393)	(7, 0.003139459520593806)	(8, 0.0)	(9, 0.0)	(12, 0.000544042985245759)	(17, 4.09494720077453e-05)	(22, 0.0002944462034842638)	(27, 0.0003051710652005781)	(32, 0.00019499748575116808)	(37, 0.0001442981394558644)	(42, 8.969884344553732e-05)	(47, 0.0001559979886009345)	(52, 3.899949715023362e-05)	(57, 7.21490697279322e-05)	(62, 0.001539505150005472)	(67, 2.5349673147651854e-05)	(72, 3.2174585148942735e-05)	(77, 1.949974857511681e-05)	(82, 2.437468571889601e-05)	(87, 0.020851081151372405)	(92, 0.0005381930606732239)	(97, 0.03980191180409967)	(102, 1.9503184650642622e-05)	(107, 1.561109987057715e-05)	(112, 1.8549879929067993e-05)	(117, 0.00019639577982403288)	(122, 0.07867553913282392)	(127, 0.0001909250036403034)	(132, 1.5686185621418733e-05)	(137, 8.346363971342946e-05)	(142, 0.0002724889964368965)	(147, 0.00024546574734979554)
I_24hrsS1_Data2	(1, 0.0)	(2, 1.4624811431337608e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.437468571889601e-05)	(8, 0.0)	(9, 0.0)	(12, 0.002860613115969636)	(17, 0.00015697297602969032)	(22, 9.749874287558406e-06)	(27, 3.2174585148942735e-05)	(32, 6.922410744166468e-05)	(37, 2.6324660576407692e-05)	(42, 3.509954743521026e-05)	(47, 0.00010822360459189828)	(52, 5.849924572535043e-05)	(57, 2.7299648005163537e-05)	(62, 5.654927086783875e-05)	(67, 1.852476114636097e-05)	(72, 0.00012089844116572421)	(77, 1.0724861716314245e-05)	(82, 7.70240068717114e-05)	(87, 3.997448457898946e-05)	(92, 7.21490697279322e-05)	(97, 7.507403201419972e-05)	(102, 8.679036165533949e-05)	(107, 0.00010830759239149896)	(112, 0.0010613400868541363)	(117, 1.66125899177195e-05)	(122, 5.2820701771148556e-05)	(127, 2.8399695751121518e-05)	(132, 3.7263638457353614e-05)	(137, 0.0004233269201760419)	(142, 3.641042348943879e-05)	(147, 0.00014500977706226467)
I_24hrsS2_Data1	(1, 0.04533879563527968)	(2, 0.0007770950780282652)	(3, 0.0016036866578417704)	(4, 0.0)	(5, 0.0)	(6, 0.000282130060175867)	(7, 0.0027371565487237627)	(8, 0.00041082096481749055)	(9, 0.0)	(12, 0.000530602499137771)	(17, 2.8707971035439097e-05)	(22, 0.00023560334849774157)	(27, 0.00023758320856915119)	(32, 0.00014848950535571948)	(37, 0.00014155999510578592)	(42, 9.305342335625087e-05)	(47, 0.0001395801350343763)	(52, 4.6526711678125436e-05)	(57, 5.7415942070878194e-05)	(62, 0.0014690561729859182)	(67, 0.00012275132442739477)	(72, 3.167776114255349e-05)	(77, 1.8808670678391133e-05)	(82, 0.004399249078672116)	(87, 0.01887994564096188)	(92, 0.0004929851577809886)	(97, 0.03622945944672414)	(102, 1.8812538881928635e-05)	(107, 1.3870491635712104e-05)	(112, 2.3794878864187944e-05)	(117, 0.0002054152867952663)	(122, 0.07152707463284609)	(127, 0.00017306567552948922)	(132, 1.892555519311457e-05)	(137, 7.583400467215298e-05)	(142, 0.00028495041292914207)	(147, 0.00022747468279432103)
I_24hrsS2_Data2	(1, 0.00014353985517719548)	(2, 7.919440285638372e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.4848950535571949e-05)	(8, 0.0)	(9, 0.0)	(12, 0.002636183685081873)	(17, 0.0001395801350343763)	(22, 7.919440285638372e-06)	(27, 3.266769117825829e-05)	(32, 5.9395802142287796e-05)	(37, 9.404335339195567e-05)	(42, 2.672811096402951e-05)	(47, 9.998293360618445e-05)	(52, 7.325482264215494e-05)	(57, 2.672811096402951e-05)	(62, 7.028503253504056e-05)	(67, 2.1778460785505523e-05)	(72, 0.00013562041489155712)	(77, 1.5838880571276743e-05)	(82, 8.117426292779331e-05)	(87, 0.00010394265374900362)	(92, 8.216419296349812e-05)	(97, 8.216419296349812e-05)	(102, 8.416252480603782e-05)	(107, 0.0001079972038434045)	(112, 0.0010351623839599327)	(117, 3.076617797041022e-05)	(122, 5.861792717829334e-05)	(127, 3.48184195049921e-05)	(132, 4.682605385297076e-05)	(137, 0.0003752725154651451)	(142, 4.200627531746968e-05)	(147, 0.0001393741708678203)
I_24hrsS3_Data1	(1, 0.04717418454104699)	(2, 0.0009929782545994186)	(3, 0.0021763202160391404)	(4, 0.0)	(5, 0.0)	(6, 0.00022123349713873056)	(7, 0.0025827724549684363)	(8, 0.0004579018894266749)	(9, 0.0)	(12, 0.0004887716797251024)	(17, 2.675381825863719e-05)	(22, 0.0002469583223874202)	(27, 0.00021608853208899268)	(32, 0.00013891405634292386)	(37, 0.0001224501681837625)	(42, 7.82034687560164e-05)	(47, 0.00011833419614397217)	(52, 2.5724825248689605e-05)	(57, 5.144965049737921e-05)	(62, 0.0014416192069365654)	(67, 0.00018521874179056516)	(72, 3.601475534816544e-05)	(77, 1.749288116910893e-05)	(82, 0.005902303905059343)	(87, 0.018646382333260172)	(92, 0.0004548149103968322)	(97, 0.035380895654037736)	(102, 1.5437909581892625e-05)	(107, 1.132780632499394e-05)	(112, 1.5457512378839638e-05)	(117, 0.0001980255961078399)	(122, 0.06904633639963557)	(127, 0.00017054647317490544)	(132, 1.1385264838338038e-05)	(137, 7.153394403831134e-05)	(142, 0.00026072013956401007)	(147, 0.00023214420673201545)
I_24hrsS3_Data2	(1, 0.0002469583223874202)	(2, 9.77543359450205e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.5724825248689605e-05)	(8, 5.14496504973792e-06)	(9, 0.0)	(12, 0.002553960650689904)	(17, 0.00010804426604449634)	(22, 1.1318923109423425e-05)	(27, 3.1898783308375105e-05)	(32, 7.511648972617364e-05)	(37, 0.00014714600042250452)	(42, 2.263784621884685e-05)	(47, 0.00011524721711412941)	(52, 4.630468544764129e-05)	(57, 2.057986019895168e-05)	(62, 7.305850370627847e-05)	(67, 1.6463888159161347e-05)	(72, 0.00013685607032302868)	(77, 1.6463888159161347e-05)	(82, 5.968159457695988e-05)	(87, 0.00015537794450208519)	(92, 7.10005176863833e-05)	(97, 7.305850370627847e-05)	(102, 8.336587175352455e-05)	(107, 9.680600830815938e-05)	(112, 0.0010635615177430969)	(117, 1.2377963210898532e-05)	(122, 5.5757020815644674e-05)	(127, 3.101367675232468e-05)	(132, 3.2092188310004245e-05)	(137, 0.00039404536071835215)	(142, 3.3249181041499845e-05)	(147, 0.0001468690946384864)
I_4hrsS1_Data1	(1, 0.0455928481672616)	(2, 0.0009088630614955994)	(3, 0.001999498735290319)	(4, 0.0)	(5, 0.0)	(6, 0.0002512739052370187)	(7, 0.0025180853056731016)	(8, 0.00046512403735363025)	(9, 0.0)	(12, 0.0005421100849156104)	(17, 3.742377312040703e-05)	(22, 0.00026517416382459844)	(27, 0.00025341240655818475)	(32, 0.00016680310305095707)	(37, 0.00013044858059113308)	(42, 0.00010371731407655663)	(47, 0.00013686408455463144)	(52, 3.635452245982398e-05)	(57, 4.59777784050715e-05)	(62, 0.0015386517005790208)	(67, 0.00015717984710570955)	(72, 2.7800517175159508e-05)	(77, 2.0315762551078106e-05)	(82, 0.00558041919758298)	(87, 0.018453127900342415)	(92, 0.00046940103999596253)	(97, 0.03595889971540824)	(102, 1.8182737431014293e-05)	(107, 7.493968452726649e-06)	(112, 2.4648685236450283e-05)	(117, 0.00016310256445089044)	(122, 0.07048911340356004)	(127, 0.0001614555801793255)	(132, 1.2941134145467146e-05)	(137, 5.4042699828881364e-05)	(142, 0.00022755357862785583)	(147, 0.00023682518672796889)
I_4hrsS1_Data2	(1, 0.00020315762551078104)	(2, 8.019379954372936e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.1385013211661162e-05)	(8, 0.0)	(9, 0.0)	(12, 0.0025907943505927497)	(17, 0.00012617157794880086)	(22, 8.554005284664465e-06)	(27, 2.245426387224422e-05)	(32, 6.415503963498349e-05)	(37, 0.0001229638259670517)	(42, 2.245426387224422e-05)	(47, 0.00010692506605830581)	(52, 5.132403170798679e-05)	(57, 2.5662015853993393e-05)	(62, 6.736279161673266e-05)	(67, 1.603875990874587e-05)	(72, 0.00012724082860938391)	(77, 1.2831007926996697e-05)	(82, 5.8808786332068195e-05)	(87, 0.00012403307662763475)	(92, 7.270904491964796e-05)	(97, 7.377829558023101e-05)	(102, 8.77064228151445e-05)	(107, 8.029746635370212e-05)	(112, 0.0010332094525203172)	(117, 2.1464063791197588e-05)	(122, 4.8364751738839105e-05)	(127, 3.5528949564104467e-05)	(132, 3.883474324846392e-05)	(137, 0.00038707626731283753)	(142, 2.7101647678276642e-05)	(147, 0.00013807714957446418)
I_4hrsS2_Data1	(1, 0.0457551402874541)	(2, 0.0007683992181740166)	(3, 0.0017794508210345647)	(4, 0.0)	(5, 0.0)	(6, 0.00022243135262932059)	(7, 0.002375971266722288)	(8, 0.0003841996090870083)	(9, 0.0)	(12, 0.0004802495113587603)	(17, 2.7298393277234795e-05)	(22, 0.0002588292103323003)	(27, 0.0002578181587294398)	(32, 0.00016783456607485098)	(37, 0.00015873510164910603)	(42, 7.78509734202622e-05)	(47, 0.00013851406959189508)	(52, 5.25746833487485e-05)	(57, 5.358573495160905e-05)	(62, 0.001376041231493206)	(67, 0.00012739250196042908)	(72, 3.6397857702979736e-05)	(77, 2.4265238468653152e-05)	(82, 0.005082556407579975)	(87, 0.01925851093128772)	(92, 0.0004822716145644814)	(97, 0.03602579071312705)	(102, 2.1237247450066453e-05)	(107, 6.0723629526634106e-06)	(112, 2.0258345564731518e-05)	(117, 0.00018657420346580037)	(122, 0.07205949993781008)	(127, 0.00016977176169005655)	(132, 1.2218441044627022e-05)	(137, 7.752678063178227e-05)	(142, 0.00028622800657220396)	(147, 0.0002653693418696879)
I_4hrsS2_Data2	(1, 0.00022243135262932059)	(2, 8.088412822884385e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 5.055258014302741e-06)	(8, 0.0)	(9, 0.0)	(12, 0.002479098530214064)	(17, 0.00013548091478331344)	(22, 1.4154722440047674e-05)	(27, 2.7298393277234795e-05)	(32, 6.268519937735398e-05)	(37, 0.0001324477599747318)	(42, 1.718787724862932e-05)	(47, 0.00012132619234326578)	(52, 5.459678655446959e-05)	(57, 3.841996090870083e-05)	(62, 7.886202502312275e-05)	(67, 1.617682564576877e-05)	(72, 0.0001445803792090584)	(77, 2.0221032057210963e-05)	(82, 6.976256059737782e-05)	(87, 0.00013548091478331344)	(92, 6.369625098021454e-05)	(97, 8.088412822884385e-05)	(102, 9.304069647595519e-05)	(107, 0.00010323539108389935)	(112, 0.001034276741620226)	(117, 2.2310501496263924e-05)	(122, 5.888994245477892e-05)	(127, 3.9655174061709266e-05)	(132, 3.2590138645680736e-05)	(137, 0.0003999836537292532)	(142, 2.76104298828378e-05)	(147, 0.00016711982111822436)
