Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
I_12hrsS1_Data1	(1, 36.45104001001829)	(2, 36.36929267031792)	(3, 36.43668928661299)	(4, 36.489504106620494)	(5, 36.49284733020823)	(6, 36.46128536931739)	(7, 36.40443472244921)	(8, 36.46661327614733)	(9, 36.466740402129375)	(10, 36.478294251367195)	(15, 36.46013872270233)	(20, 36.44223773317605)	(25, 36.373290282462236)	(30, 36.320382623052595)	(35, 36.27616129379481)	(40, 36.23664390279124)	(45, 36.18789241685569)	(50, 36.16918496963719)	(55, 36.1629253047421)	(60, 36.08225924869724)	(65, 36.0206100293323)	(70, 36.016368893241406)	(75, 36.02729433295551)	(80, 35.94041563683425)	(85, 35.87002805745807)	(90, 35.842144196350205)	(95, 35.7906332817462)	(100, 35.74537209410962)	(105, 35.71652603646693)	(110, 35.65816243183085)	(115, 35.59601382909988)	(120, 35.4857827709295)	(125, 35.42775658627812)	(130, 35.39569851107472)	(135, 35.29815138177436)	(140, 35.266237139450595)	(145, 35.16314024062084)
I_12hrsS1_Data2	(1, 36.27699623304023)	(2, 36.135060868935575)	(3, 36.17407146880149)	(4, 36.222321804526395)	(5, 36.234455233372586)	(6, 36.162907458900335)	(7, 36.150710492703695)	(8, 36.20480518776569)	(9, 36.2019264688756)	(10, 36.199956257175195)	(15, 36.18625323526394)	(20, 36.14486183600584)	(25, 36.09326837925552)	(30, 36.042891844814406)	(35, 35.98149395438777)	(40, 35.95415384787374)	(45, 35.89612461648748)	(50, 35.842900419023444)	(55, 35.82773869441565)	(60, 35.76050891622869)	(65, 35.724120608967816)	(70, 35.666791365340735)	(75, 35.60866240236517)	(80, 35.54365788782873)	(85, 35.489202532407)	(90, 35.419796084591546)	(95, 35.4035887680118)	(100, 35.31657971989586)	(105, 35.25215039098897)	(110, 35.16273654947291)	(115, 35.03605195923991)	(120, 35.01203645993998)	(125, 34.83000664951903)	(130, 34.765237894011726)	(135, 34.68590792093492)	(140, 34.48223185511538)	(145, 34.32887222925611)
I_12hrsS3_Data1	(1, 36.456305186231845)	(2, 36.38288393217538)	(3, 36.44863029286422)	(4, 36.50093640915223)	(5, 36.50342045470568)	(6, 36.472074967201685)	(7, 36.418272279678206)	(8, 36.47553442443554)	(9, 36.47616725720873)	(10, 36.49202828533038)	(15, 36.472250642094195)	(20, 36.454529437312274)	(25, 36.3865588013105)	(30, 36.33717206848554)	(35, 36.294940731436526)	(40, 36.25424850116367)	(45, 36.209421423898405)	(50, 36.18630034991835)	(55, 36.18202786018942)	(60, 36.10431995218693)	(65, 36.04637736744676)	(70, 36.04078684424085)	(75, 36.04915850772199)	(80, 35.96025741561367)	(85, 35.8869514910948)	(90, 35.86349257748382)	(95, 35.81546345430944)	(100, 35.773083200446344)	(105, 35.74193395871709)	(110, 35.6871201217869)	(115, 35.62286753959804)	(120, 35.51622941410265)	(125, 35.45703124265843)	(130, 35.42440014081303)	(135, 35.326808399869755)	(140, 35.290380297888376)	(145, 35.18444929731119)
I_12hrsS3_Data2	(1, 36.41620206301125)	(2, 36.359438828944135)	(3, 36.35193988924998)	(4, 36.371045069927646)	(5, 36.376676230819264)	(6, 36.31452137303696)	(7, 36.29954820865275)	(8, 36.34139199728167)	(9, 36.33928902385223)	(10, 36.337294303213)	(15, 36.31915803647495)	(20, 36.2828038309007)	(25, 36.23527738195945)	(30, 36.190751645464395)	(35, 36.132775542675276)	(40, 36.11325155794325)	(45, 36.06066623180411)	(50, 36.018416087762816)	(55, 35.99915570114831)	(60, 35.94419687682766)	(65, 35.907799342259224)	(70, 35.85999657849987)	(75, 35.80367528730656)	(80, 35.74537767501721)	(85, 35.69196448738053)	(90, 35.63393610243956)	(95, 35.62061761026068)	(100, 35.54791171835774)	(105, 35.49076072761242)	(110, 35.40552722304368)	(115, 35.29013688515461)	(120, 35.259914222617525)	(125, 35.096488759570285)	(130, 35.02965764039417)	(135, 34.9484497434226)	(140, 34.750810388595276)	(145, 34.59699804565647)
I_24hrsS1_Data1	(1, 36.449628273855446)	(2, 36.36138586663098)	(3, 36.43065287351951)	(4, 36.48752798518604)	(5, 36.48659160725946)	(6, 36.45121335966775)	(7, 36.383194775432365)	(8, 36.44887119611702)	(9, 36.446949788391166)	(10, 36.46547811799151)	(15, 36.44554323252694)	(20, 36.42821727692349)	(25, 36.35416942892793)	(30, 36.29362675580002)	(35, 36.2482613512302)	(40, 36.20659766193139)	(45, 36.15428047999605)	(50, 36.13403500253618)	(55, 36.12214982778066)	(60, 36.03480319025637)	(65, 35.967100774944385)	(70, 35.96636613166669)	(75, 35.981537238304234)	(80, 35.90841913832073)	(85, 35.84219115749776)	(90, 35.80273669221377)	(95, 35.728572216221984)	(100, 35.67725451845521)	(105, 35.649419042848464)	(110, 35.58564931852278)	(115, 35.52892678356714)	(120, 35.41054427445606)	(125, 35.35783254401715)	(130, 35.329620508503055)	(135, 35.238802763764056)	(140, 35.21682107886979)	(145, 35.119906478536066)
I_24hrsS1_Data2	(1, 36.23258505485645)	(2, 36.11772612456878)	(3, 36.13667154404128)	(4, 36.171794978668494)	(5, 36.17851527451868)	(6, 36.09979527701465)	(7, 36.08049281714574)	(8, 36.132545104746555)	(9, 36.128953348557765)	(10, 36.12470187687517)	(15, 36.115734205752084)	(20, 36.06639544466373)	(25, 36.013617103424465)	(30, 35.97098788407497)	(35, 35.904832393567325)	(40, 35.87643070752157)	(45, 35.80924234458152)	(50, 35.748503757479675)	(55, 35.73170993051509)	(60, 35.660764151272225)	(65, 35.62482518841023)	(70, 35.55883914096783)	(75, 35.50027912427604)	(80, 35.43860023004829)	(85, 35.3884460382239)	(90, 35.308901776597715)	(95, 35.28433463811025)	(100, 35.17473103378937)	(105, 35.10943208413916)	(110, 35.021195552749006)	(115, 34.89259051469817)	(120, 34.89330207886156)	(125, 34.706538838271115)	(130, 34.65569626449927)	(135, 34.60069437560814)	(140, 34.423011715323554)	(145, 34.287933918945946)
I_24hrsS2_Data1	(1, 36.452995053121626)	(2, 36.377283669599365)	(3, 36.44430326942213)	(4, 36.4974934971496)	(5, 36.5001247311845)	(6, 36.47114962752892)	(7, 36.41368003125011)	(8, 36.46801432111984)	(9, 36.469656367566564)	(10, 36.48234689445089)	(15, 36.46165514916068)	(20, 36.44275889937203)	(25, 36.372119194703785)	(30, 36.318254329656995)	(35, 36.27542238334763)	(40, 36.23259253568995)	(45, 36.18682536763032)	(50, 36.164634264408726)	(55, 36.15840203117804)	(60, 36.076909980910195)	(65, 36.01584194935439)	(70, 36.01187937821307)	(75, 36.021157091601395)	(80, 35.936768377358156)	(85, 35.865679244453716)	(90, 35.84016898501682)	(95, 35.781543348442305)	(100, 35.73943836115622)	(105, 35.706275739292316)	(110, 35.64939280485887)	(115, 35.58787878264802)	(120, 35.47840888497497)	(125, 35.420369996969875)	(130, 35.38987782784758)	(135, 35.29316604442754)	(140, 35.26103950424882)	(145, 35.1591267076572)
I_24hrsS2_Data2	(1, 36.23281714091575)	(2, 36.129507398935075)	(3, 36.145475960341024)	(4, 36.179519654268915)	(5, 36.18931837773434)	(6, 36.11603702496723)	(7, 36.10171545965817)	(8, 36.145708791885426)	(9, 36.14264129568379)	(10, 36.13836455044704)	(15, 36.12659192628902)	(20, 36.079115624224144)	(25, 36.028031126172124)	(30, 35.97757317463831)	(35, 35.91150042309609)	(40, 35.88559979464891)	(45, 35.82410789485042)	(50, 35.76776985789753)	(55, 35.751662894373275)	(60, 35.680791447083685)	(65, 35.64436965413032)	(70, 35.58345556659437)	(75, 35.52267351592659)	(80, 35.45585397106474)	(85, 35.401907209106085)	(90, 35.331938835390865)	(95, 35.31518163632267)	(100, 35.221985168920426)	(105, 35.159049698004935)	(110, 35.06516338527907)	(115, 34.93209562452713)	(120, 34.91190859866524)	(125, 34.72450251333405)	(130, 34.661990224846775)	(135, 34.583921424106094)	(140, 34.377879195797256)	(145, 34.22232504493188)
I_24hrsS3_Data1	(1, 36.44630272007099)	(2, 36.36783973927787)	(3, 36.4339423531362)	(4, 36.48728962109288)	(5, 36.48965229194302)	(6, 36.45761598371886)	(7, 36.39780828604853)	(8, 36.45817493272187)	(9, 36.45981025986293)	(10, 36.47195041200365)	(15, 36.45296648909334)	(20, 36.435105598864155)	(25, 36.364630876026)	(30, 36.31152326054134)	(35, 36.26700624464988)	(40, 36.22689505783919)	(45, 36.17960584216956)	(50, 36.160027233329004)	(55, 36.15476120725164)	(60, 36.07591596584525)	(65, 36.01426184311787)	(70, 36.011101260218034)	(75, 36.01974939081042)	(80, 35.930157181769246)	(85, 35.855078301737585)	(90, 35.83311608203915)	(95, 35.783673153129904)	(100, 35.7393330987768)	(105, 35.71023702326052)	(110, 35.651343210860304)	(115, 35.59034161146785)	(120, 35.48142931193734)	(125, 35.42209161329082)	(130, 35.38836932798196)	(135, 35.29051625373481)	(140, 35.255854627246464)	(145, 35.14922790710651)
I_24hrsS3_Data2	(1, 36.187586248907856)	(2, 36.0242098902898)	(3, 36.08057581214045)	(4, 36.12970014423395)	(5, 36.148329651081845)	(6, 36.06780240741146)	(7, 36.06727612893653)	(8, 36.11184366838478)	(9, 36.10920486726042)	(10, 36.106533416187844)	(15, 36.09623452355926)	(20, 36.04717787862595)	(25, 35.99506989898067)	(30, 35.94153791648877)	(35, 35.874445802372215)	(40, 35.84756127113153)	(45, 35.78718107262026)	(50, 35.73216440756396)	(55, 35.71519864864406)	(60, 35.64459041396286)	(65, 35.605935416900124)	(70, 35.54672760157473)	(75, 35.483576438076895)	(80, 35.416387598617405)	(85, 35.35739906170243)	(90, 35.28999874359953)	(95, 35.27539669481272)	(100, 35.18705741273454)	(105, 35.120651136435576)	(110, 35.025234191134885)	(115, 34.88698129336099)	(120, 34.85992841719896)	(125, 34.66638943543386)	(130, 34.59849608249097)	(135, 34.51291740417126)	(140, 34.29277291996348)	(145, 34.12851815541583)
