Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
I_12hrsS1_Data1	(14.0, 6.0)	(15.0, 51.0)	(16.0, 155.0)	(17.0, 320.0)	(18.0, 504.0)	(19.0, 810.0)	(20.0, 1135.0)	(21.0, 2138.0)	(22.0, 3641.0)	(23.0, 7117.0)	(24.0, 13272.0)	(25.0, 24944.0)	(26.0, 42018.0)	(27.0, 67796.0)	(28.0, 99910.0)	(29.0, 142800.0)	(30.0, 190264.0)	(31.0, 254773.0)	(32.0, 335668.0)	(33.0, 479647.0)	(34.0, 772256.0)	(35.0, 2353168.0)	(36.0, 14022824.0)	(37.0, 685124.0)			
I_12hrsS1_Data2	(11.0, 1.0)	(12.0, 37.0)	(13.0, 250.0)	(14.0, 663.0)	(15.0, 1373.0)	(16.0, 2283.0)	(17.0, 3404.0)	(18.0, 4500.0)	(19.0, 6702.0)	(20.0, 10463.0)	(21.0, 17069.0)	(22.0, 25495.0)	(23.0, 36066.0)	(24.0, 47841.0)	(25.0, 62614.0)	(26.0, 78179.0)	(27.0, 98888.0)	(28.0, 122419.0)	(29.0, 156390.0)	(30.0, 199379.0)	(31.0, 268985.0)	(32.0, 379276.0)	(33.0, 635771.0)	(34.0, 1341179.0)	(35.0, 4347827.0)	(36.0, 11261281.0)	(37.0, 392006.0)
I_12hrsS3_Data1	(13.0, 1.0)	(14.0, 6.0)	(15.0, 48.0)	(16.0, 174.0)	(17.0, 326.0)	(18.0, 499.0)	(19.0, 738.0)	(20.0, 1125.0)	(21.0, 2086.0)	(22.0, 3689.0)	(23.0, 6845.0)	(24.0, 12720.0)	(25.0, 23579.0)	(26.0, 39481.0)	(27.0, 64652.0)	(28.0, 94557.0)	(29.0, 135471.0)	(30.0, 182121.0)	(31.0, 242419.0)	(32.0, 318216.0)	(33.0, 456794.0)	(34.0, 727399.0)	(35.0, 2112298.0)	(36.0, 13482017.0)	(37.0, 745376.0)		
I_12hrsS3_Data2	(11.0, 2.0)	(12.0, 30.0)	(13.0, 148.0)	(14.0, 523.0)	(15.0, 1165.0)	(16.0, 1974.0)	(17.0, 2897.0)	(18.0, 4045.0)	(19.0, 5772.0)	(20.0, 8838.0)	(21.0, 14509.0)	(22.0, 20673.0)	(23.0, 28885.0)	(24.0, 36819.0)	(25.0, 48337.0)	(26.0, 60789.0)	(27.0, 77241.0)	(28.0, 97549.0)	(29.0, 125455.0)	(30.0, 161896.0)	(31.0, 219383.0)	(32.0, 307564.0)	(33.0, 502401.0)	(34.0, 1010232.0)	(35.0, 3392262.0)	(36.0, 11955635.0)	(37.0, 567613.0)
I_24hrsS1_Data1	(13.0, 1.0)	(14.0, 5.0)	(15.0, 58.0)	(16.0, 141.0)	(17.0, 289.0)	(18.0, 484.0)	(19.0, 769.0)	(20.0, 1267.0)	(21.0, 2136.0)	(22.0, 4087.0)	(23.0, 7810.0)	(24.0, 14848.0)	(25.0, 27527.0)	(26.0, 46704.0)	(27.0, 76043.0)	(28.0, 112373.0)	(29.0, 160909.0)	(30.0, 214573.0)	(31.0, 285732.0)	(32.0, 373011.0)	(33.0, 526450.0)	(34.0, 835421.0)	(35.0, 2552165.0)	(36.0, 14686190.0)	(37.0, 584092.0)		
I_24hrsS1_Data2	(12.0, 30.0)	(13.0, 226.0)	(14.0, 664.0)	(15.0, 1401.0)	(16.0, 2316.0)	(17.0, 3546.0)	(18.0, 5120.0)	(19.0, 7433.0)	(20.0, 11609.0)	(21.0, 19111.0)	(22.0, 28899.0)	(23.0, 42390.0)	(24.0, 56497.0)	(25.0, 75169.0)	(26.0, 93024.0)	(27.0, 117427.0)	(28.0, 145161.0)	(29.0, 183904.0)	(30.0, 231920.0)	(31.0, 309255.0)	(32.0, 432609.0)	(33.0, 721295.0)	(34.0, 1520448.0)	(35.0, 4838993.0)	(36.0, 11312423.0)	(37.0, 352215.0)	
I_24hrsS2_Data1	(14.0, 16.0)	(15.0, 42.0)	(16.0, 142.0)	(17.0, 313.0)	(18.0, 502.0)	(19.0, 712.0)	(20.0, 1137.0)	(21.0, 2121.0)	(22.0, 4095.0)	(23.0, 7895.0)	(24.0, 14518.0)	(25.0, 27025.0)	(26.0, 45151.0)	(27.0, 72974.0)	(28.0, 106777.0)	(29.0, 151649.0)	(30.0, 201081.0)	(31.0, 266610.0)	(32.0, 350418.0)	(33.0, 498213.0)	(34.0, 792786.0)	(35.0, 2377115.0)	(36.0, 14575172.0)	(37.0, 706984.0)			
I_24hrsS2_Data2	(11.0, 3.0)	(12.0, 49.0)	(13.0, 239.0)	(14.0, 687.0)	(15.0, 1430.0)	(16.0, 2448.0)	(17.0, 3544.0)	(18.0, 4991.0)	(19.0, 7411.0)	(20.0, 11488.0)	(21.0, 19139.0)	(22.0, 28742.0)	(23.0, 42072.0)	(24.0, 55604.0)	(25.0, 71939.0)	(26.0, 87483.0)	(27.0, 109718.0)	(28.0, 135397.0)	(29.0, 172948.0)	(30.0, 219080.0)	(31.0, 295962.0)	(32.0, 417384.0)	(33.0, 709292.0)	(34.0, 1517458.0)	(35.0, 4794245.0)	(36.0, 11143985.0)	(37.0, 350710.0)
I_24hrsS3_Data1	(14.0, 2.0)	(15.0, 31.0)	(16.0, 121.0)	(17.0, 305.0)	(18.0, 465.0)	(19.0, 702.0)	(20.0, 1127.0)	(21.0, 1955.0)	(22.0, 3600.0)	(23.0, 7011.0)	(24.0, 13633.0)	(25.0, 25526.0)	(26.0, 42766.0)	(27.0, 68733.0)	(28.0, 100700.0)	(29.0, 143278.0)	(30.0, 191371.0)	(31.0, 255314.0)	(32.0, 336987.0)	(33.0, 481056.0)	(34.0, 776807.0)	(35.0, 2373779.0)	(36.0, 13942305.0)	(37.0, 668904.0)			
I_24hrsS3_Data2	(11.0, 4.0)	(12.0, 58.0)	(13.0, 254.0)	(14.0, 622.0)	(15.0, 1319.0)	(16.0, 2144.0)	(17.0, 3307.0)	(18.0, 4689.0)	(19.0, 7145.0)	(20.0, 11053.0)	(21.0, 18048.0)	(22.0, 27269.0)	(23.0, 39157.0)	(24.0, 52499.0)	(25.0, 68138.0)	(26.0, 83606.0)	(27.0, 106207.0)	(28.0, 131356.0)	(29.0, 167580.0)	(30.0, 215134.0)	(31.0, 292835.0)	(32.0, 418535.0)	(33.0, 730247.0)	(34.0, 1582235.0)	(35.0, 4893081.0)	(36.0, 10290722.0)	(37.0, 289234.0)
