Sample	Unique Reads	Duplicate Reads
I_12hrsS1_Data1	7015562	12484779
I_12hrsS1_Data2	7128081	12372260
I_12hrsS3_Data1	6866288	11786349
I_12hrsS3_Data2	6804129	11848508
I_24hrsS1_Data1	7455723	13057362
I_24hrsS1_Data2	7834400	12678685
I_24hrsS2_Data1	7548616	12654832
I_24hrsS2_Data2	7790463	12412985
I_24hrsS3_Data1	7265322	12171156
I_24hrsS3_Data2	7620985	11815493
I_4hrsS1_Data1	6721295	11983393
I_4hrsS1_Data2	6755565	11949123
I_4hrsS2_Data1	7435318	12346066
I_4hrsS2_Data2	7648708	12132676
I_4hrsS3_Data1	7161634	12760330
I_4hrsS3_Data2	7451780	12470184
I_72hrsS1_Data1	6407569	13490441
I_72hrsS1_Data2	6855552	13042458
I_72hrsS2_Data1	6105823	12901270
I_72hrsS2_Data2	6507863	12499230
I_72hrsS3_Data1	5011803	13539252
I_72hrsS3_Data2	4731408	13819647
U_12hrsN1_Data1	6946074	13267220
U_12hrsN1_Data2	7094355	13118939
U_12hrsN2_Data1	6760422	12890329
U_12hrsN2_Data2	6820490	12830261
U_24hrsN1_Data1	6867816	11639701
U_24hrsN1_Data2	7007900	11499617
U_24hrsN2_Data1	6956302	12228307
U_24hrsN2_Data2	7247422	11937187
U_4hrsN1_Data1	7249162	11716079
U_4hrsN1_Data2	7428022	11537219
U_4hrsN2_Data1	2563772	14807928
U_4hrsN2_Data2	2562795	14808905
U_72hrsN1_Data1	1491642	22453332
U_72hrsN1_Data2	1858610	22086364
U_72hrsN2_Data1	7252719	12182568
U_72hrsN2_Data2	7788135	11647152
