Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
I_12hrsS1_Data1	(1.0, 23.144507071916106)	(2.0, 12.296389844802164)	(3.0, 7.3390772695890725)	(4.0, 4.890897298511787)	(5.0, 3.6274663928902937)	(6.0, 2.7191956220218185)	(7.0, 2.206882209827808)	(8.0, 1.8707890583426998)	(9.0, 1.6172327601310297)	('>10', 17.528727039802664)	('>50', 5.314498527847011)	('>100', 10.478467636427492)	('>500', 3.4246251285407863)	('>1k', 3.165568399929385)	('>5k', 0.3756757394199324)	('>10k+', 0.0)
I_12hrsS1_Data2	(1.0, 23.682742952409953)	(2.0, 12.058035588582893)	(3.0, 7.673829099051859)	(4.0, 5.159678963774043)	(5.0, 3.685347270757928)	(6.0, 2.832699556677817)	(7.0, 2.324098422209429)	(8.0, 1.803896394354222)	(9.0, 1.5981712071806522)	('>10', 16.612330321678254)	('>50', 4.9555406297078)	('>100', 10.34042520949197)	('>500', 3.48969483472662)	('>1k', 3.2374223836915412)	('>5k', 0.37377282781132964)	('>10k+', 0.17231433789374917)
I_12hrsS3_Data1	(1.0, 23.861298832986417)	(2.0, 12.44654510528922)	(3.0, 7.4433602753166035)	(4.0, 5.044123236749664)	(5.0, 3.622436578673808)	(6.0, 2.7200446282052324)	(7.0, 2.2396528969058)	(8.0, 1.82025495328941)	(9.0, 1.5221356970872462)	('>10', 17.26605909723789)	('>50', 5.355785371478537)	('>100', 10.177678089034409)	('>500', 3.2116452733817207)	('>1k', 2.9574799962335674)	('>5k', 0.3114999681304184)	('>10k+', 0.0)
I_12hrsS3_Data2	(1.0, 23.345018499452483)	(2.0, 12.39099046939419)	(3.0, 7.766736953608547)	(4.0, 5.33478236117294)	(5.0, 3.7767564993713645)	(6.0, 2.8058431638663084)	(7.0, 2.2564938096874227)	(8.0, 1.9650056176912696)	(9.0, 1.5145126303282361)	('>10', 16.722531189665023)	('>50', 4.959781507045475)	('>100', 10.352765358539745)	('>500', 3.340964695157859)	('>1k', 3.117927603336112)	('>5k', 0.26306973115209853)	('>10k+', 0.08681991053089817)
I_24hrsS1_Data1	(1.0, 23.10619252019841)	(2.0, 12.467226883473273)	(3.0, 7.644037222389372)	(4.0, 5.217437587195546)	(5.0, 3.8104078532689516)	(6.0, 2.9589952450675274)	(7.0, 2.301817760890661)	(8.0, 2.014765012703548)	(9.0, 1.639398929379892)	('>10', 18.1428195422253)	('>50', 4.9712416424729255)	('>100', 9.614990898655265)	('>500', 2.957002831545242)	('>1k', 2.827749148362952)	('>5k', 0.26514395934728646)	('>10k+', 0.06077296282374903)
I_24hrsS1_Data2	(1.0, 24.863075634612965)	(2.0, 12.579891036109503)	(3.0, 7.829452240091923)	(4.0, 5.361602310756035)	(5.0, 3.8823465906839036)	(6.0, 2.963591550153955)	(7.0, 2.3409798682902645)	(8.0, 1.9968306892190308)	(9.0, 1.6611768733806553)	('>10', 16.58893117936374)	('>50', 4.620593777064916)	('>100', 9.252173611414356)	('>500', 2.820192511649231)	('>1k', 2.8280342157477794)	('>5k', 0.2628186543524012)	('>10k+', 0.14830925710935816)
I_24hrsS2_Data1	(1.0, 24.11720251227193)	(2.0, 12.658366312876812)	(3.0, 7.657590087342669)	(4.0, 5.054509583215267)	(5.0, 3.787845399405125)	(6.0, 2.9085095612421257)	(7.0, 2.3191591774685616)	(8.0, 1.924684614131384)	(9.0, 1.6322631462191914)	('>10', 17.66883184916578)	('>50', 5.067709003819548)	('>100', 9.482175581082403)	('>500', 2.8191375163927725)	('>1k', 2.601370335221145)	('>5k', 0.300645320145186)	('>10k+', 0.0)
I_24hrsS2_Data2	(1.0, 25.229520713594532)	(2.0, 12.604277904157396)	(3.0, 7.953900721882729)	(4.0, 5.323917749828609)	(5.0, 3.8011735992507227)	(6.0, 2.931634317854329)	(7.0, 2.3629822957042643)	(8.0, 1.898778052838384)	(9.0, 1.5890297167788823)	('>10', 16.570327457044232)	('>50', 4.6679596207803025)	('>100', 9.487383680922907)	('>500', 2.679430153749612)	('>1k', 2.5871835096860116)	('>5k', 0.23489705309662112)	('>10k+', 0.07760345283035866)
I_24hrsS3_Data1	(1.0, 24.13819191431617)	(2.0, 12.59222327675847)	(3.0, 7.737591339092603)	(4.0, 5.107451567710234)	(5.0, 3.7618351481924703)	(6.0, 2.8737735791014107)	(7.0, 2.3193629912472145)	(8.0, 1.8929710148276495)	(9.0, 1.68610619749017)	('>10', 17.657365445083038)	('>50', 4.940943651903733)	('>100', 9.387807580240432)	('>500', 2.8484239594155283)	('>1k', 2.7253263068729914)	('>5k', 0.33062602774788447)	('>10k+', 0.0)
I_24hrsS3_Data2	(1.0, 25.859958676203586)	(2.0, 12.70348645972677)	(3.0, 7.950521297722074)	(4.0, 5.2543631844129335)	(5.0, 3.9189252377178305)	(6.0, 2.919955628163229)	(7.0, 2.272759169675502)	(8.0, 1.944084209663726)	(9.0, 1.5551026399292078)	('>10', 16.1057205106183)	('>50', 4.678355990300729)	('>100', 9.059365140701122)	('>500', 2.7339618290869385)	('>1k', 2.672568199410615)	('>5k', 0.2212094959989288)	('>10k+', 0.1496623306684092)
I_4hrsS1_Data1	(1.0, 23.345457065208304)	(2.0, 12.146634684327996)	(3.0, 7.132721422063875)	(4.0, 4.825376090002073)	(5.0, 3.5023161983751128)	(6.0, 2.6893388623636763)	(7.0, 2.1886628805211745)	(8.0, 1.7461788946784973)	(9.0, 1.5537195302309155)	('>10', 17.078490037301822)	('>50', 5.450559851744389)	('>100', 11.160292970698288)	('>500', 3.4185324042634475)	('>1k', 3.343023729904443)	('>5k', 0.41869537831603665)	('>10k+', 0.0)
I_4hrsS1_Data2	(1.0, 23.535186374424182)	(2.0, 11.873061943839051)	(3.0, 7.446920340113092)	(4.0, 5.056025360624262)	(5.0, 3.6271664099961645)	(6.0, 2.645680053554064)	(7.0, 2.224313936691406)	(8.0, 1.807569818700929)	(9.0, 1.450610420424271)	('>10', 16.16791952180254)	('>50', 5.307260312612718)	('>100', 11.39277619331529)	('>500', 3.823334274106469)	('>1k', 3.25020275797702)	('>5k', 0.3135867903832862)	('>10k+', 0.07838549143537615)
