Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
I_12hrsS1_Data1	(100, 4192.0)	(102, 4944.0)	(104, 5910.0)	(106, 6004.0)	(108, 5887.0)	(110, 6124.0)	(112, 6963.0)	(114, 7821.0)	(116, 8455.0)	(118, 8379.0)	(120, 8369.0)	(122, 9453.0)	(124, 10611.0)	(126, 11116.0)	(128, 11161.0)	(130, 11657.0)	(132, 12343.0)	(134, 13691.0)	(136, 14724.0)	(138, 15787.0)	(140, 14632.0)	(142, 16809.0)	(144, 26046.0)	(146, 0.0)	(148, 19259263.0)
I_12hrsS1_Data2	(100, 4492.0)	(102, 5352.0)	(104, 6195.0)	(106, 6240.0)	(108, 6159.0)	(110, 6434.0)	(112, 7308.0)	(114, 8099.0)	(116, 8704.0)	(118, 8674.0)	(120, 8721.0)	(122, 9757.0)	(124, 10887.0)	(126, 11422.0)	(128, 11473.0)	(130, 12027.0)	(132, 12706.0)	(134, 13987.0)	(136, 15000.0)	(138, 16349.0)	(140, 15306.0)	(142, 19567.0)	(144, 30560.0)	(146, 0.0)	(148, 19244922.0)
I_12hrsS3_Data1	(100, 4166.0)	(102, 4789.0)	(104, 5609.0)	(106, 5891.0)	(108, 5789.0)	(110, 6199.0)	(112, 6880.0)	(114, 8114.0)	(116, 8552.0)	(118, 8521.0)	(120, 8938.0)	(122, 9865.0)	(124, 10885.0)	(126, 11908.0)	(128, 12069.0)	(130, 12543.0)	(132, 13542.0)	(134, 15277.0)	(136, 16269.0)	(138, 17341.0)	(140, 16565.0)	(142, 18938.0)	(144, 26156.0)	(146, 0.0)	(148, 18397831.0)
I_12hrsS3_Data2	(100, 4425.0)	(102, 5087.0)	(104, 5870.0)	(106, 6222.0)	(108, 6012.0)	(110, 6411.0)	(112, 7105.0)	(114, 8298.0)	(116, 8809.0)	(118, 8785.0)	(120, 9283.0)	(122, 10167.0)	(124, 11128.0)	(126, 12170.0)	(128, 12322.0)	(130, 12828.0)	(132, 13791.0)	(134, 15491.0)	(136, 16580.0)	(138, 17689.0)	(140, 17245.0)	(142, 21613.0)	(144, 30616.0)	(146, 0.0)	(148, 18384690.0)
I_24hrsS1_Data1	(100, 3444.0)	(102, 4083.0)	(104, 4754.0)	(106, 5143.0)	(108, 4904.0)	(110, 5261.0)	(112, 6009.0)	(114, 6866.0)	(116, 7496.0)	(118, 7365.0)	(120, 7825.0)	(122, 8300.0)	(124, 9493.0)	(126, 10397.0)	(128, 10512.0)	(130, 10911.0)	(132, 11705.0)	(134, 13188.0)	(136, 14221.0)	(138, 15239.0)	(140, 14260.0)	(142, 16805.0)	(144, 26941.0)	(146, 0.0)	(148, 20287963.0)
I_24hrsS1_Data2	(100, 3707.0)	(102, 4449.0)	(104, 5022.0)	(106, 5463.0)	(108, 5172.0)	(110, 5525.0)	(112, 6341.0)	(114, 7094.0)	(116, 7775.0)	(118, 7683.0)	(120, 8233.0)	(122, 8631.0)	(124, 9798.0)	(126, 10747.0)	(128, 10782.0)	(130, 11239.0)	(132, 12051.0)	(134, 13473.0)	(136, 14556.0)	(138, 15530.0)	(140, 14949.0)	(142, 19248.0)	(144, 31122.0)	(146, 0.0)	(148, 20274495.0)
I_24hrsS2_Data1	(100, 4052.0)	(102, 4503.0)	(104, 5381.0)	(106, 5585.0)	(108, 5423.0)	(110, 5865.0)	(112, 6769.0)	(114, 7541.0)	(116, 8050.0)	(118, 8139.0)	(120, 8510.0)	(122, 9561.0)	(124, 10423.0)	(126, 11191.0)	(128, 11531.0)	(130, 12012.0)	(132, 12983.0)	(134, 14142.0)	(136, 15490.0)	(138, 16497.0)	(140, 15751.0)	(142, 18054.0)	(144, 27730.0)	(146, 0.0)	(148, 19958265.0)
I_24hrsS2_Data2	(100, 4281.0)	(102, 4908.0)	(104, 5616.0)	(106, 5900.0)	(108, 5658.0)	(110, 6105.0)	(112, 7022.0)	(114, 7796.0)	(116, 8290.0)	(118, 8421.0)	(120, 8823.0)	(122, 9846.0)	(124, 10668.0)	(126, 11473.0)	(128, 11805.0)	(130, 12314.0)	(132, 13245.0)	(134, 14391.0)	(136, 15799.0)	(138, 16736.0)	(140, 16397.0)	(142, 20260.0)	(144, 31387.0)	(146, 0.0)	(148, 19946307.0)
I_24hrsS3_Data1	(100, 3647.0)	(102, 4225.0)	(104, 4817.0)	(106, 5117.0)	(108, 5049.0)	(110, 5439.0)	(112, 6069.0)	(114, 6853.0)	(116, 7469.0)	(118, 7359.0)	(120, 7714.0)	(122, 8599.0)	(124, 9442.0)	(126, 10113.0)	(128, 10364.0)	(130, 10757.0)	(132, 11670.0)	(134, 12954.0)	(136, 14059.0)	(138, 15321.0)	(140, 14654.0)	(142, 16530.0)	(144, 26061.0)	(146, 0.0)	(148, 19212196.0)
I_24hrsS3_Data2	(100, 3893.0)	(102, 4560.0)	(104, 5036.0)	(106, 5399.0)	(108, 5305.0)	(110, 5638.0)	(112, 6291.0)	(114, 7115.0)	(116, 7698.0)	(118, 7610.0)	(120, 7965.0)	(122, 8801.0)	(124, 9632.0)	(126, 10341.0)	(128, 10574.0)	(130, 11061.0)	(132, 11931.0)	(134, 13173.0)	(136, 14292.0)	(138, 15632.0)	(140, 15118.0)	(142, 18767.0)	(144, 29874.0)	(146, 0.0)	(148, 19200772.0)
