Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
I_12hrsS1_Data1	64.02339071686595	47.0	295.9968561831816	148	18.181818181818183	19.500341
I_12hrsS1_Data2	63.44638172482884	48.0	295.97430621854255	148	18.181818181818183	19.500341
I_12hrsS3_Data1	63.188647327423794	47.0	295.95514020350043	148	18.181818181818183	18.652637
I_12hrsS3_Data2	63.52189550666253	48.0	295.9345723878077	148	18.181818181818183	18.652637
I_24hrsS1_Data1	63.653819160717816	46.0	296.0709361122425	148	18.181818181818183	20.513085
I_24hrsS1_Data2	61.807796512851446	47.0	296.05013768041226	148	18.181818181818183	20.513085
I_24hrsS2_Data1	62.636991544743495	46.0	296.0202323880557	148	18.181818181818183	20.203447999999998
I_24hrsS2_Data2	61.439937101829905	47.0	296.0012641406556	148	18.181818181818183	20.203447999999998
I_24hrsS3_Data1	62.62017450888653	46.0	296.04555655607976	148	18.181818181818183	19.436477999999997
I_24hrsS3_Data2	60.79030256540444	48.0	296.02751625062933	148	18.181818181818183	19.436477999999997
I_4hrsS1_Data1	64.06625807050625	48.0	295.8458486984653	148	18.181818181818183	18.704688
I_4hrsS1_Data2	63.88304077937723	49.0	295.8206299939352	148	9.090909090909092	18.704688
I_4hrsS2_Data1	62.41254952490677	46.0	295.9589397789356	148	18.181818181818183	19.781384
I_4hrsS2_Data2	61.33381161683484	48.0	295.93827145764925	148	18.181818181818183	19.781384
I_4hrsS3_Data1	64.05157066159838	47.0	296.08727302187674	148	18.181818181818183	19.921964
I_4hrsS3_Data2	62.59515644866571	48.0	296.0672541120946	148	18.181818181818183	19.921964
I_72hrsS1_Data1	67.79794110184498	44.0	296.10676590272095	148	18.181818181818183	19.89801
I_72hrsS1_Data2	65.54654731655765	45.0	296.0902838525059	148	18.181818181818183	19.89801
I_72hrsS2_Data1	67.87608504966913	44.0	296.09128058141243	148	18.181818181818183	19.007092999999998
I_72hrsS2_Data2	65.76087587895046	45.0	296.07464384480045	148	18.181818181818183	19.007092999999998
I_72hrsS3_Data1	72.98373443454757	52.0	294.7961637491776	148	27.27272727272727	18.551054999999998
I_72hrsS3_Data2	74.49520851880992	53.0	294.78890205974807	148	9.090909090909092	18.551054999999998
U_12hrsN1_Data1	65.636114577819	47.0	296.0360597832298	148	18.181818181818183	20.213293999999998
U_12hrsN1_Data2	64.90253363719467	48.0	296.01222537009556	148	9.090909090909092	20.213293999999998
U_12hrsN2_Data1	65.5971322814186	47.0	295.98757622545827	148	18.181818181818183	19.650751
U_12hrsN2_Data2	65.29145612797717	48.0	295.9624012079742	148	9.090909090909092	19.650751
U_24hrsN1_Data1	62.89175031964888	47.0	296.0143450091117	148	18.181818181818183	18.507517
U_24hrsN1_Data2	62.13484969927619	48.0	295.9924769216746	148	18.181818181818183	18.507517
U_24hrsN2_Data1	63.74019755247951	46.0	296.0734222156938	148	18.181818181818183	19.184609
U_24hrsN2_Data2	62.222732607815814	48.0	296.0520657210163	148	18.181818181818183	19.184609
U_4hrsN1_Data1	61.776589536592844	46.0	296.01623056095093	148	18.181818181818183	18.965241
U_4hrsN1_Data2	60.833500228738785	48.0	295.99460172955355	148	18.181818181818183	18.965241
U_4hrsN2_Data1	85.24167832323367	61.0	294.3554566334901	148	27.27272727272727	17.3717
U_4hrsN2_Data2	85.24729946157134	61.0	294.33909438915015	148	9.090909090909092	17.3717
U_72hrsN1_Data1	93.77054418600372	56.0	295.0769705158168	148	18.181818181818183	23.944974
U_72hrsN1_Data2	92.23799565409207	56.0	295.07083795538887	148	9.090909090909092	23.944974
U_72hrsN2_Data1	62.68273249564443	46.0	296.0494586727739	148	18.181818181818183	19.435287
U_72hrsN2_Data2	59.92786521401595	47.0	296.0294157477582	148	18.181818181818183	19.435287
