Sample	Raw Data		Valid Data		Valid Ratio(reads)	Q20%	Q30%	GC content%
	Read	Base	Read	Base
I_12hrsS1	40610762	6.09G	39000682	5.85G	96.04	99.95	97.23	47.5
I_12hrsS3	38798498	5.82G	37305274	5.60G	96.15	99.95	97.53	47.5
I_24hrsS1	42691458	6.40G	41026170	6.15G	96.10	99.95	96.95	46.5
I_24hrsS2	42035668	6.31G	40406896	6.06G	96.13	99.94	97.05	46.5
I_24hrsS3	40474096	6.07G	38872956	5.83G	96.04	99.95	97.08	47
I_4hrsS1	39101724	5.87G	37409376	5.61G	95.67	99.93	97.04	48.5
I_4hrsS2	41276176	6.19G	39562768	5.93G	95.85	99.95	97.15	47
I_4hrsS3	41452416	6.22G	39843928	5.98G	96.12	99.95	97.11	47.5
I_72hrsS1	41175600	6.18G	39796020	5.97G	96.65	99.96	97.23	44.5
I_72hrsS2	39336134	5.90G	38014186	5.70G	96.64	99.96	97.34	44.5
I_72hrsS3	39928236	5.99G	37102110	5.57G	92.92	99.87	96.14	52.5
U_12hrsN1	42130246	6.32G	40426588	6.06G	95.96	99.95	97.04	47.5
U_12hrsN2	41001888	6.15G	39301502	5.90G	95.85	99.94	97.08	47.5
U_24hrsN1	38446840	5.77G	37015034	5.55G	96.28	99.96	97.48	47.5
U_24hrsN2	39930486	5.99G	38369218	5.76G	96.09	99.95	96.95	47
U_4hrsN1	39374642	5.91G	37930482	5.69G	96.33	99.96	97.36	47
U_4hrsN2	37560958	5.63G	34743400	5.21G	92.50	99.80	94.96	61
U_72hrsN1	50257880	7.54G	47889948	7.18G	95.29	99.88	96.54	56
U_72hrsN2	40475838	6.07G	38870574	5.83G	96.03	99.95	97.04	46.5
