Sample	Valid reads	Mapped reads	Unique Mapped reads	Multi Mapped reads	PE Mapped reads	Reads map to sense strand	Reads map to antisense strand	Non-splice reads	Splice reads
I_12hrsS1	39000682	34677509(88.92%)	33063475(84.78%)	1614034(4.14%)	32262806(82.72%)	16549698(42.43%)	16513777(42.34%)	20323188(52.11%)	12740287(32.67%)
I_12hrsS3	37305274	33118641(88.78%)	31691104(84.95%)	1427537(3.83%)	30938488(82.93%)	15863562(42.52%)	15827542(42.43%)	19598109(52.53%)	12092995(32.42%)
I_24hrsS1	41026170	36156507(88.13%)	34544784(84.20%)	1611723(3.93%)	33694180(82.13%)	17274908(42.11%)	17269876(42.09%)	21562996(52.56%)	12981788(31.64%)
I_24hrsS2	40406896	35599466(88.10%)	33875092(83.83%)	1724374(4.27%)	33169826(82.09%)	16942291(41.93%)	16932801(41.91%)	21061355(52.12%)	12813737(31.71%)
I_24hrsS3	38872956	34213140(88.01%)	32701400(84.12%)	1511740(3.89%)	31875292(82.00%)	16352766(42.07%)	16348634(42.06%)	20338315(52.32%)	12363085(31.80%)
I_4hrsS1	37409376	32980975(88.16%)	31209736(83.43%)	1771239(4.73%)	30646000(81.92%)	15619380(41.75%)	15590356(41.67%)	19713046(52.70%)	11496690(30.73%)
I_4hrsS2	39562768	35307479(89.24%)	33594918(84.92%)	1712561(4.33%)	32968178(83.33%)	16801905(42.47%)	16793013(42.45%)	21320194(53.89%)	12274724(31.03%)
I_4hrsS3	39843928	35539740(89.20%)	33185192(83.29%)	2354548(5.91%)	33160898(83.23%)	16599495(41.66%)	16585697(41.63%)	21181998(53.16%)	12003194(30.13%)
I_72hrsS1	39796020	28289241(71.09%)	26943240(67.70%)	1346001(3.38%)	26364800(66.25%)	13473134(33.86%)	13470106(33.85%)	16564761(41.62%)	10378479(26.08%)
I_72hrsS2	38014186	27030128(71.11%)	25796451(67.86%)	1233677(3.25%)	25203972(66.30%)	12901372(33.94%)	12895079(33.92%)	15938634(41.93%)	9857817(25.93%)
I_72hrsS3	37102110	28329454(76.36%)	26084145(70.30%)	2245309(6.05%)	25796506(69.53%)	13058481(35.20%)	13025664(35.11%)	17109682(46.12%)	8974463(24.19%)
U_12hrsN1	40426588	35866756(88.72%)	34117089(84.39%)	1749667(4.33%)	33381108(82.57%)	17081469(42.25%)	17035620(42.14%)	21066459(52.11%)	13050630(32.28%)
U_12hrsN2	39301502	34740650(88.40%)	33222368(84.53%)	1518282(3.86%)	32291264(82.16%)	16637335(42.33%)	16585033(42.20%)	20277645(51.60%)	12944723(32.94%)
U_24hrsN1	37015034	32742113(88.46%)	31366215(84.74%)	1375898(3.72%)	30529242(82.48%)	15700574(42.42%)	15665641(42.32%)	18861739(50.96%)	12504476(33.78%)
U_24hrsN2	38369218	33986000(88.58%)	32599627(84.96%)	1386373(3.61%)	31613354(82.39%)	16310931(42.51%)	16288696(42.45%)	19723627(51.40%)	12876000(33.56%)
U_4hrsN1	37930482	33719049(88.90%)	32015411(84.41%)	1703638(4.49%)	31552962(83.19%)	16015545(42.22%)	15999866(42.18%)	19707077(51.96%)	12308334(32.45%)
U_4hrsN2	34743400	22037773(63.43%)	18478052(53.18%)	3559721(10.25%)	19043236(54.81%)	9214923(26.52%)	9263129(26.66%)	12689783(36.52%)	5788269(16.66%)
U_72hrsN1	47889948	15516148(32.40%)	11732271(24.50%)	3783877(7.90%)	13204506(27.57%)	5713797(11.93%)	6018474(12.57%)	9776003(20.41%)	1956268(4.08%)
U_72hrsN2	38870574	34526012(88.82%)	32707526(84.14%)	1818486(4.68%)	32242060(82.95%)	16361855(42.09%)	16345671(42.05%)	20772789(53.44%)	11934737(30.70%)
