transcript_id,abund_I_12hrsS1,abund_I_12hrsS3,abund_I_24hrsS1,abund_I_24hrsS2,abund_I_24hrsS3,abund_I_4hrsS1,abund_I_4hrsS2,abund_I_4hrsS3,abund_I_72hrsS1,abund_I_72hrsS2,abund_I_72hrsS3,abund_U_12hrsN1,abund_U_12hrsN2,abund_U_24hrsN1,abund_U_24hrsN2,abund_U_4hrsN1,abund_U_4hrsN2,abund_U_72hrsN1,abund_U_72hrsN2
XR_004158917.1,628,821,839,887,859,951,769,763,505,562,956,847,990,756,799,753,392,36,830
XR_004158713.1,1,1,0,1,2,1,1,1,1,0,1,2,0,0,1,1,4,0,0
XM_010708844.3,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
XM_010707932.3,10533,11735,12989,12801,12688,11234,9285,9047,8997,8386,15097,14158,14190,13496,13899,10379,1094,581,15796
XM_010709112.3,477,603,823,971,879,432,826,865,1206,942,22,445,447,706,800,1113,5,4,1701
XR_004158925.1,6,18,14,5,7,11,32,13,13,16,2,7,4,4,5,12,0,0,2
XM_019610999.2,5,5,8,8,11,4,10,7,14,12,6,4,5,7,9,8,6,1,15
XR_004158677.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3,0,2
XM_010709673.3,195,186,165,215,199,180,153,177,121,120,34,167,179,133,117,153,36,15,156
XR_004158929.1,11,3,6,6,2,3,3,5,0,3,0,3,4,3,2,3,13,0,2
XM_010718482.3,55,25,80,93,93,11,73,51,68,45,0,117,28,8,110,43,0,0,47
XM_010724967.3,12,12,0,0,0,0,0,0,0,12,473,0,0,0,0,0,119,75,8
XM_010728816.3,1739,1683,1288,1296,1374,1626,1590,1522,1137,1122,0,1498,1581,1271,1351,1711,12,0,1896
XM_010706977.3,80,76,105,160,48,127,72,156,60,21,0,133,239,68,130,39,0,0,152
XM_010706402.3,13,12,12,0,0,0,0,54,0,14,0,0,0,28,0,0,0,0,9
XM_010711522.3,184,235,206,245,308,267,249,269,163,149,234,181,207,148,180,229,146,56,153
XM_010710572.3,1654,1801,1489,1516,1436,1960,1689,1928,1187,1149,2209,1620,1718,1300,1577,1399,0,0,1590
XM_031552500.1,115,0,0,0,0,0,180,57,32,0,0,0,0,65,0,0,430,110,0
XM_031552503.1,11,10,13,12,11,17,8,16,13,15,1,16,9,10,11,13,0,0,16
XR_793870.2,435,490,376,418,396,568,374,322,381,285,934,576,565,609,624,378,221,134,514
XM_031552507.1,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,1
XM_031552110.1,306,334,339,413,349,457,303,350,369,417,2518,425,434,390,424,364,8917,4026,541
XM_031552505.1,9,12,15,10,17,16,8,6,8,19,19,29,20,20,11,14,3,0,21
XR_004158944.1,0,8,0,0,43,0,0,0,23,0,0,0,1,0,0,6,0,0,0
XR_004158945.1,0,0,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XR_004158952.1,0,0,44,76,47,17,0,20,48,13,0,46,0,57,17,54,0,0,4
XR_004158953.1,25,53,20,11,40,51,81,61,44,64,69,59,1,25,25,63,10,0,106
XR_004158950.1,28,8,0,0,0,29,51,0,0,0,0,0,25,20,34,27,0,0,28
XR_004158943.1,45,73,103,143,42,77,98,140,19,0,0,0,51,0,21,42,0,0,129
XR_004158951.1,56,53,32,0,48,94,0,65,62,37,0,65,0,86,17,60,0,0,54
XR_004158947.1,211,146,138,73,117,117,158,184,93,90,123,120,288,88,163,92,13,0,115
XR_004158942.1,23,73,14,6,30,67,46,46,32,69,5,57,24,9,51,50,0,0,48
XM_019615296.2,820,673,1003,952,895,671,817,611,765,772,0,661,765,960,878,813,0,0,641
XM_019615052.2,674,428,667,817,823,634,695,595,492,677,701,731,585,777,806,828,98,4,396
XM_031552518.1,48,309,146,75,38,84,82,162,149,51,0,73,0,131,47,50,0,0,0
