Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0003735~structural constituent of ribosome	95	5.3340819764177425	9.712765032260297E-59	100547161, 100538846, 100544053, 100542991, 100544011, 100549465, 100539451, 100545822, 100542431, 104912139, 100545028, 100543686, 104914712, 100543844, 100540338, 100538962, 100541826, 100550011, 100551385, 100538619, 100548961, 100546221, 100547675, 100549932, 100549975, 100546185, 100546665, 100545851, 100543794, 100544168, 100543230, 104916366, 100544721, 100543358, 100540520, 100540046, 100548207, 100550724, 100550844, 100540447, 100550521, 100539744, 100542629, 100539786, 100538499, 100539541, 104914293, 692134, 100549126, 100544590, 100545680, 100547984, 100543980, 100544398, 100542056, 100542176, 100543583, 100545166, 100543589, 100543586, 100543988, 104914854, 100549328, 100549405, 100550833, 100543987, 100542419, 100550355, 100538422, 100539872, 100547908, 100550153, 100547094, 100550381, 100547212, 100545154, 100546049, 100547099, 100546444, 100543176, 109364438, 100542443, 100544743, 104912789, 100538671, 100543575, 100544269, 104913677, 100540304, 100551437, 100539888, 104916190, 100550422, 100539763, 100538598	1315	185	18695	7.3004829924982015	1.4452594368003321E-55	1.4452594368003321E-55	1.4015519941551609E-55
GOTERM_MF_ALL	GO:0003723~RNA binding	182	10.218978102189782	9.160752998244816E-29	104913186, 100545102, 100542991, 100544011, 100546559, 100543443, 100546315, 100541663, 100544934, 104911208, 100549306, 100540335, 100549669, 100546957, 100550019, 100538921, 100541826, 100539215, 100539853, 100541828, 100550254, 100549098, 100541092, 100547114, 100549412, 100549932, 109367609, 100546665, 100543794, 100544766, 100541771, 100543553, 100538493, 100543713, 100548207, 100545616, 100540445, 100542629, 100550366, 100551212, 100538499, 104914293, 692134, 100539717, 100539716, 100544070, 104913882, 100549126, 100547984, 100546654, 100548671, 100547464, 104910412, 100540034, 100544359, 100543784, 100541003, 104914854, 100547503, 100549405, 100546935, 100550355, 100550751, 100547908, 100547212, 100549512, 104916864, 104915379, 100548149, 100547296, 100547175, 104914561, 100541470, 100542443, 104912789, 100544502, 100546007, 100543531, 100542326, 100547856, 100540304, 100550502, 100540941, 100544905, 100538877, 104915819, 100551261, 100544053, 104914632, 100542430, 100540494, 104917102, 100544177, 100549465, 100548652, 100545822, 100543644, 100545028, 109364275, 100543768, 100548537, 100539656, 100538562, 100539377, 100551385, 100549690, 104915791, 100538619, 100543074, 100548367, 100547675, 104914621, 100547798, 100546185, 100544168, 100548881, 100543230, 100545255, 100544320, 100543358, 100541850, 100544841, 100546622, 100544208, 100542029, 100550724, 100541698, 100550844, 104913415, 104914988, 100540006, 100538855, 100541977, 100551015, 100538457, 100539786, 100550684, 100550167, 100550440, 100539541, 100547260, 100546573, 100549569, 104915105, 100544398, 100540077, 100542893, 100546337, 100545522, 100549328, 104912997, 100540358, 100541327, 100545922, 100541568, 104916715, 100540911, 100539911, 100550312, 100539872, 100550381, 100551194, 100545071, 100545751, 100549034, 100546201, 100543176, 109364438, 100540187, 100547816, 100540068, 100543575, 100540189, 100550825, 100544269, 104916307, 100550301, 100542805, 100550422, 104912629, 100550662, 100539763	1315	1094	18695	2.3651232787204313	1.3631200461388286E-25	6.815600230694143E-26	6.609483288233635E-26
GOTERM_MF_ALL	GO:0005198~structural molecule activity	125	7.018528916339135	3.497126777111069E-18	104915401, 654833, 100542991, 100544011, 100539451, 104912139, 100543686, 104914712, 100543844, 100540338, 100541826, 100539974, 100550011, 104917012, 100548961, 100549932, 100546665, 100545851, 100543794, 116216385, 100540046, 100543158, 100548207, 100540447, 100542629, 100550521, 100539744, 100538499, 104914293, 100551283, 692134, 100549126, 100545680, 100547984, 100544590, 100545322, 100542056, 100543021, 100542176, 100545166, 104915823, 104914854, 100549405, 100541645, 100550355, 100547908, 100550060, 100547212, 100545154, 100547330, 100542443, 100544743, 104912789, 100548827, 100548825, 100540304, 100551437, 104916190, 100538598, 100551384, 100547161, 100538846, 100544053, 100549465, 100545822, 100542431, 100545028, 100550976, 100542318, 100538720, 100538962, 100551385, 100538619, 100546221, 104916886, 100547675, 100546185, 100549975, 100544168, 100543230, 100540240, 100541175, 104916366, 100544721, 100543358, 100540520, 100541974, 100550724, 100550844, 104916528, 109365195, 100539786, 100539541, 100543980, 100544398, 104916672, 100543583, 100543589, 100543586, 100539592, 100543988, 100549328, 100550833, 100543987, 100542419, 100538422, 100539872, 100550153, 100547094, 100549394, 100550381, 100546049, 100546444, 100547099, 100543176, 109364438, 100538671, 100543575, 100544269, 104913677, 100539888, 100542406, 100550422, 100539763, 100551078	1315	785	18695	2.263810515608728	5.2037246443412704E-15	1.73457488144709E-15	1.682117979790424E-15
GOTERM_MF_ALL	GO:0003676~nucleic acid binding	340	19.09039865244245	7.900164864280388E-16	100548050, 104915401, 104913102, 100544377, 100545102, 100541660, 100542991, 100544011, 100543044, 100546559, 100540573, 100544378, 100546315, 100541663, 100544934, 100540335, 100543846, 100550019, 100550932, 100538921, 100539215, 100550254, 100539454, 100549251, 100544483, 100541092, 100549932, 109367609, 100546665, 100548727, 100541771, 100543399, 100538493, 100543713, 100548845, 100540445, 100543832, 100550005, 100542629, 100550366, 100541539, 100551212, 100539346, 100538499, 100544808, 100551330, 100538906, 100549126, 100547984, 100546654, 104910412, 100544359, 100544477, 100547503, 100542978, 100543704, 104910418, 100542738, 100550355, 100550112, 100548020, 100549593, 104916864, 100548149, 100547296, 100547175, 104914561, 100540784, 100543931, 100547856, 100540304, 100544905, 100541637, 100540306, 100547165, 100549103, 104913022, 100549465, 100549109, 100545549, 100539656, 100538562, 100538563, 100549690, 104915791, 100548367, 100542381, 100548007, 100549458, 100546185, 100543353, 100543230, 100544320, 100542264, 100542267, 100538450, 100543358, 100544202, 100541850, 100546622, 100544208, 100542029, 100541734, 104916528, 100541977, 100538457, 100539786, 100550684, 100550440, 100539541, 100547260, 100551085, 100547140, 100540070, 100549569, 104915105, 104916672, 100548112, 100540077, 100545522, 100549328, 104912997, 100550312, 100539872, 100538540, 100547130, 100551194, 100545071, 100540181, 100008577, 100549794, 100545751, 109364438, 100543572, 100541277, 100540187, 100540189, 100547816, 100540068, 100545633, 100543575, 100547931, 104916307, 100547813, 100538678, 100542805, 100550422, 100550301, 104912629, 100539403, 100550662, 100539763, 104913068, 104913186, 100542597, 100543443, 104915927, 100546717, 104911208, 100549306, 100549669, 100540854, 100546957, 100540858, 100541826, 100539853, 100541828, 100549098, 100549412, 100547114, 100547236, 100544084, 100545850, 100543794, 116216385, 100545057, 100547354, 100540164, 100544766, 100543553, 100550768, 100548207, 100545616, 100538896, 100550883, 100550760, 104914293, 692134, 100539838, 100539717, 100539716, 104915380, 100544070, 104913882, 100547466, 104915029, 100540391, 104914611, 100548671, 104914176, 100541484, 100547464, 104914616, 100542696, 100543666, 100540034, 100543784, 100542455, 100541003, 100541248, 104915823, 104914854, 100549405, 100540159, 100546935, 100541800, 100550751, 100547908, 100541909, 104914160, 100551274, 100538517, 100551390, 100549512, 100547212, 104915379, 100548544, 100545032, 100544184, 104915930, 100541470, 100541352, 100547332, 100546244, 100542443, 104912789, 100544502, 100542563, 100546007, 100541235, 100543531, 100542447, 100542326, 100549999, 100550502, 100540941, 100538877, 100550984, 100550982, 104915819, 100550053, 100551261, 100548895, 100544053, 104914632, 100546593, 100542430, 100540494, 104917102, 100544177, 100549740, 100548652, 100545822, 100543644, 100545028, 109364275, 100543768, 100548537, 100550852, 100545948, 100539377, 100551385, 100538619, 100543192, 100548884, 100543074, 100547675, 104914621, 100547798, 100548881, 100544168, 100549972, 100545255, 104911232, 100546222, 100543633, 100544841, 100543999, 104915713, 100541698, 100550724, 104913415, 104914988, 100550844, 100540006, 100538855, 100551016, 100551015, 100550167, 100551374, 100551360, 100546690, 100543181, 100538703, 100542091, 100546573, 100544398, 100547780, 100543187, 100542893, 100550959, 100546337, 100540478, 100540358, 100541327, 100545922, 104916715, 100541568, 109365382, 100540911, 100551128, 100539911, 104909294, 100550276, 100550381, 100538715, 100543291, 100541790, 100546687, 100549034, 100544025, 100549037, 100546201, 100543176, 100541551, 100544269, 100550825, 100542523, 100542527, 100538952	1315	3241	18695	1.4914187636309029	1.156408302449563E-12	2.9388613295123043E-13	2.84998447478915E-13
GOTERM_MF_ALL	GO:0097159~organic cyclic compound binding	544	30.544637843907918	3.1156384209549083E-14	100550250, 100548170, 100548050, 100548292, 104915401, 104912494, 104913102, 100541660, 100542991, 100540573, 100540696, 100540695, 100541663, 100542994, 100544934, 100543846, 100542754, 100540335, 100550019, 100542877, 100544817, 100542517, 100539215, 100551225, 100550254, 100539454, 100549251, 104916842, 109367609, 104911398, 100547079, 100540440, 100541771, 100538493, 100543713, 100540445, 100543832, 100550005, 100551336, 100542629, 100541539, 100550366, 100551212, 100538499, 100539346, 100544808, 100551330, 100549242, 100548038, 100549126, 100151696, 100540796, 100544911, 100542978, 100543704, 100550235, 100542738, 100550355, 100550112, 100548020, 100549593, 104914685, 104916864, 100548389, 100548149, 100547296, 100547175, 104914561, 100540784, 100542964, 100542966, 100543931, 100540304, 100544905, 100541637, 100539569, 100540306, 100550690, 100547165, 100549103, 100547045, 104913022, 100549465, 100540770, 100549109, 100542957, 100541626, 100539656, 100550454, 100551421, 100538562, 100538563, 100549690, 104915791, 100539549, 104916886, 100548367, 100549698, 100549456, 100548007, 100549458, 100546185, 100538450, 100541850, 100541734, 104916528, 100541977, 100542826, 100538457, 100539786, 100550684, 100538455, 100550440, 100539541, 100547260, 100547140, 100539879, 100547268, 100549569, 104915105, 100549200, 104916672, 100548112, 100547029, 100549328, 100541724, 100550312, 100550430, 100539872, 100538540, 100538541, 100547130, 100545071, 100547498, 100549676, 100549794, 104913395, 100547132, 109364438, 104916307, 100538678, 100542805, 100538676, 100550422, 100550301, 100539403, 100550662, 100539763, 104913068, 100548694, 104913186, 100549669, 100549306, 100540854, 100540858, 100541826, 100539853, 100539974, 100538886, 100541828, 100539610, 100538642, 100541809, 100549412, 100547114, 100547236, 100544084, 100549777, 116216385, 100545057, 100547354, 100550768, 100548207, 100538896, 100550883, 100550762, 100550760, 100539860, 104914293, 692134, 100539838, 100539717, 100539716, 104915380, 100544070, 100547466, 104915029, 100548671, 104914176, 100547464, 100544199, 100546017, 100549405, 100540832, 100541800, 100538864, 100550751, 100550990, 100541909, 104914160, 100538517, 100549512, 100547212, 104915379, 100548544, 100545032, 100544184, 100546367, 100547453, 100547332, 100546244, 100546007, 100549999, 100550502, 100540941, 100538877, 100550984, 100550982, 100550980, 100538992, 100548895, 100544053, 100546593, 100549744, 100545145, 100549740, 100547684, 100548652, 104917102, 100550609, 100544177, 100545028, 109364275, 100547569, 100548537, 100550852, 100538619, 100544281, 100543192, 100548884, 100543074, 100547675, 100546340, 100547798, 100543073, 100548881, 100544168, 100549972, 100545255, 100545375, 100544287, 100546222, 100549615, 100550724, 100550844, 100538855, 100546690, 100543181, 100538703, 100542091, 100546573, 100548511, 100547780, 100544398, 100547541, 100543187, 100550959, 100303677, 100546337, 100540911, 109365382, 100539911, 100538838, 100538715, 100543291, 100543053, 100546687, 100542087, 100544025, 100303685, 100546201, 100543176, 100544028, 100550825, 100544269, 100538831, 100538952, 100540903, 104917149, 100544377, 100545102, 100544011, 100550807, 100543044, 100550817, 100546559, 100547528, 100544378, 100546315, 100548856, 100550932, 100546318, 100538921, 100547630, 100544483, 100541092, 100549932, 100546665, 100548727, 100543399, 100548845, 100550920, 100538906, 100547861, 100547984, 100547622, 100542172, 100546654, 100544594, 100545441, 100546537, 104910412, 100544359, 100544477, 100546414, 100547503, 104910418, 100542162, 100547732, 104911971, 100546641, 100544583, 100542044, 100548827, 100546404, 100545315, 100544346, 100547856, 100546649, 100548825, 100546991, 100546759, 100545549, 100542381, 100545411, 100543353, 100543230, 100544320, 100542264, 100542267, 100543358, 100544202, 100546622, 100544208, 100542029, 100548923, 104909200, 100551085, 100540070, 100543464, 100543343, 100541165, 100540077, 104913847, 100542376, 100545522, 104911307, 104912997, 100548918, 104917198, 100551194, 100540181, 100008577, 100545751, 100543572, 104909347, 100541277, 100540187, 100543578, 100547816, 100545633, 100543575, 100544543, 100540189, 100540068, 100542246, 100547931, 100546968, 100547933, 100542009, 100547813, 104912629, 100542590, 100544770, 100542597, 100539297, 100543443, 100547927, 100544775, 104915927, 100546717, 104911208, 100546957, 100545625, 100549098, 100545850, 100543794, 100540164, 100540043, 100544765, 100543434, 100545975, 100544766, 100543553, 104914827, 100543796, 100545616, 100544529, 100539189, 100539069, 100551164, 104913882, 104914611, 100540391, 100544993, 100541484, 100544996, 104914616, 100542696, 100544512, 100547903, 100543666, 100540034, 100543784, 100542455, 100541003, 100546937, 100544879, 104915823, 104914854, 100541369, 100541248, 100540159, 100546935, 100543425, 100542339, 100544757, 100134843, 100543305, 100547908, 100551274, 100550060, 100551390, 104915930, 100541470, 100541352, 100541230, 100545712, 100541596, 104912789, 100542443, 100542563, 100544502, 100543531, 100541235, 100539163, 100540388, 100540267, 100542447, 100542326, 100544509, 104915819, 100550053, 100551384, 100551261, 104914632, 100540494, 100542430, 104914517, 100545822, 100540132, 100543886, 100543644, 100544730, 100543768, 100544615, 100545948, 100539258, 100539377, 100551385, 100548080, 100548081, 104913530, 104912682, 104914621, 104911234, 104911232, 100543633, 100540484, 100542420, 100543993, 100544841, 100543999, 104915713, 100541698, 104915954, 104913415, 104914988, 100540006, 109370376, 100551016, 100543638, 100551015, 100550167, 100551132, 100551374, 100551360, 100548197, 104915862, 104913682, 100540231, 100542893, 100540478, 100540358, 100541327, 100545922, 104916715, 100544834, 100541568, 100551128, 104909294, 100550276, 100550381, 100541790, 100549034, 100549037, 100541551, 104915859, 100543856, 100542523, 100542527, 100551115, 100539128, 100539487	1315	5946	18695	1.3006897310266414	4.6421533284046745E-11	9.272139940761808E-12	8.991732482875866E-12
GOTERM_MF_ALL	GO:0019843~rRNA binding	24	1.347557551937114	1.2162737307542939E-13	100550381, 100538619, 100544070, 100549126, 100547984, 100546665, 100547296, 100543794, 100542991, 100549465, 109364438, 100543176, 100542893, 100541771, 100544269, 100548207, 100549669, 104914988, 100540006, 100538877, 100542629, 100541826, 100538457, 100538499	1315	52	18695	6.561567709856684	1.8106049992638873E-10	3.0163588522706485E-11	2.9251383224640766E-11
GOTERM_MF_ALL	GO:0045182~translation regulator activity	32	1.7967434025828188	5.416111309310635E-11	100539716, 100542091, 100549126, 104914632, 100549103, 100541660, 100540494, 104917102, 100550959, 100544359, 100550019, 100545922, 100539656, 100542738, 100549098, 104916864, 100548884, 100548149, 100542381, 104915930, 100543572, 100541375, 100545633, 104916307, 100542029, 100540445, 100543832, 100547856, 100541637, 100538855, 100539346, 100550440	1315	116	18695	3.9218565622131893	8.059174338992392E-8	1.1513105183220323E-8	1.1164926599050351E-8
GOTERM_MF_ALL	GO:0008135~translation factor activity, RNA binding	25	1.403705783267827	1.4007055757841832E-9	100539716, 100542091, 104914632, 100549103, 100541660, 100540494, 104917102, 100550959, 100544359, 100550019, 100545922, 100542738, 100549098, 100548884, 100542381, 104915930, 100543572, 100545633, 104916307, 100543832, 100547856, 100541637, 100538855, 100539346, 100550440	1315	83	18695	4.282147601814101	2.0842476901039575E-6	2.605312370958581E-7	2.5265226823207204E-7
GOTERM_MF_ALL	GO:0004812~aminoacyl-tRNA ligase activity	20	1.1229646266142617	3.746469627046841E-9	100545071, 100548292, 104915862, 100548881, 100545102, 100545255, 100547453, 100544765, 100540187, 100539297, 100546404, 100540484, 100540696, 104914827, 100541003, 100546017, 100544615, 100547503, 100550312, 100551015	1315	56	18695	5.077403585008148	5.574731205104655E-6	5.574746805045699E-7	5.406155671828592E-7
GOTERM_MF_ALL	GO:0016875~ligase activity, forming carbon-oxygen bonds	20	1.1229646266142617	3.746469627046841E-9	100545071, 100548292, 104915862, 100548881, 100545102, 100545255, 100547453, 100544765, 100540187, 100539297, 100546404, 100540484, 100540696, 104914827, 100541003, 100546017, 100544615, 100547503, 100550312, 100551015	1315	56	18695	5.077403585008148	5.574731205104655E-6	5.574746805045699E-7	5.406155671828592E-7
