query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
down_degIDs_12hrs	TRUE	1.66698657147141e-17	337	365	54	0.14794520547945206	0.16023738872403562	GO:0006412	GO:BP	translation	9885	2194	
down_degIDs_12hrs	TRUE	6.707331791168096e-17	347	365	54	0.14794520547945206	0.15561959654178675	GO:0043043	GO:BP	peptide biosynthetic process	9885	10843	
down_degIDs_12hrs	TRUE	1.6383726198526405e-15	398	365	56	0.15342465753424658	0.1407035175879397	GO:0006518	GO:BP	peptide metabolic process	9885	2266	
down_degIDs_12hrs	TRUE	2.8331536007366068e-15	812	365	83	0.2273972602739726	0.1022167487684729	GO:1901566	GO:BP	organonitrogen compound biosynthetic process	9885	22100	
down_degIDs_12hrs	TRUE	6.625853059773291e-15	383	365	54	0.14794520547945206	0.1409921671018277	GO:0043604	GO:BP	amide biosynthetic process	9885	11153	
down_degIDs_12hrs	TRUE	1.7659599386709956e-14	3020	365	188	0.5150684931506849	0.06225165562913907	GO:0034641	GO:BP	cellular nitrogen compound metabolic process	9885	9002	
down_degIDs_12hrs	TRUE	2.2457956289232283e-13	486	365	59	0.16164383561643836	0.12139917695473251	GO:0043603	GO:BP	amide metabolic process	9885	11152	
down_degIDs_12hrs	TRUE	5.279113276496597e-11	4998	365	254	0.6958904109589041	0.0508203281312525	GO:0044237	GO:BP	cellular metabolic process	9885	11299	
down_degIDs_12hrs	TRUE	1.2588304365602799e-8	143	365	26	0.07123287671232877	0.18181818181818182	GO:0042254	GO:BP	ribosome biogenesis	9885	10405	
down_degIDs_12hrs	TRUE	8.807523941947641e-8	111	365	22	0.06027397260273973	0.1981981981981982	GO:0006260	GO:BP	DNA replication	9885	2098	
down_degIDs_12hrs	TRUE	1.449317989041802e-7	276	365	35	0.0958904109589041	0.12681159420289856	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	9885	6857	
down_degIDs_12hrs	TRUE	4.0382425402777087e-07	423	365	44	0.12054794520547946	0.10401891252955082	GO:0006259	GO:BP	DNA metabolic process	9885	2097	
down_degIDs_12hrs	TRUE	1.1091586024700002e-6	3583	365	188	0.5150684931506849	0.052469997209042704	GO:0044249	GO:BP	cellular biosynthetic process	9885	11305	
down_degIDs_12hrs	TRUE	2.664986397259145e-6	3643	365	189	0.5178082191780822	0.05188031841888553	GO:1901576	GO:BP	organic substance biosynthetic process	9885	22106	
down_degIDs_12hrs	TRUE	3.19781307797866e-6	3676	365	190	0.5205479452054794	0.051686615886833515	GO:0009058	GO:BP	biosynthetic process	9885	3271	
down_degIDs_12hrs	TRUE	6.305397729079336e-6	1911	365	116	0.3178082191780822	0.06070120355834641	GO:0044271	GO:BP	cellular nitrogen compound biosynthetic process	9885	11312	
down_degIDs_12hrs	TRUE	7.095805380996749e-6	38	365	12	0.03287671232876712	0.3157894736842105	GO:0032392	GO:BP	DNA geometric change	9885	7815	
down_degIDs_12hrs	TRUE	1.8415431670967762e-5	240	365	29	0.07945205479452055	0.12083333333333333	GO:0009117	GO:BP	nucleotide metabolic process	9885	3323	
down_degIDs_12hrs	TRUE	2.1366509767691867e-5	4879	365	232	0.6356164383561644	0.04755072760811642	GO:0006807	GO:BP	nitrogen compound metabolic process	9885	2516	
down_degIDs_12hrs	TRUE	2.142235994605491e-5	271	365	31	0.08493150684931507	0.11439114391143912	GO:0055086	GO:BP	nucleobase-containing small molecule metabolic process	9885	14702	
down_degIDs_12hrs	TRUE	2.320684189600541e-5	34	365	11	0.030136986301369864	0.3235294117647059	GO:0032508	GO:BP	DNA duplex unwinding	9885	7889	
down_degIDs_12hrs	TRUE	2.8054735564256768e-5	2761	365	150	0.410958904109589	0.05432814197754437	GO:0046483	GO:BP	heterocycle metabolic process	9885	12593	
down_degIDs_12hrs	TRUE	3.216551399547448e-5	246	365	29	0.07945205479452055	0.11788617886178862	GO:0006753	GO:BP	nucleoside phosphate metabolic process	9885	2478	
down_degIDs_12hrs	TRUE	5.298621283452854e-5	5256	365	244	0.6684931506849315	0.04642313546423135	GO:0044238	GO:BP	primary metabolic process	9885	11300	
down_degIDs_12hrs	TRUE	5.590075942830768e-5	696	365	55	0.1506849315068493	0.07902298850574713	GO:0044281	GO:BP	small molecule metabolic process	9885	11317	
down_degIDs_12hrs	TRUE	5.964454300383256e-5	45	365	12	0.03287671232876712	0.26666666666666666	GO:0071103	GO:BP	DNA conformation change	9885	16951	
down_degIDs_12hrs	TRUE	7.255443706575583e-5	2872	365	153	0.4191780821917808	0.05327298050139276	GO:1901360	GO:BP	organic cyclic compound metabolic process	9885	21926	
down_degIDs_12hrs	TRUE	8.544034321994873e-5	38	365	11	0.030136986301369864	0.2894736842105263	GO:0042274	GO:BP	ribosomal small subunit biogenesis	9885	10417	
down_degIDs_12hrs	TRUE	1.0155534878862895e-4	5949	365	267	0.7315068493150685	0.0448814926878467	GO:0008152	GO:BP	metabolic process	9885	3159	
down_degIDs_12hrs	TRUE	1.0613981489331505e-4	2692	365	145	0.3972602739726027	0.05386329866270431	GO:0006139	GO:BP	nucleobase-containing compound metabolic process	9885	2004	
down_degIDs_12hrs	TRUE	1.0742745486047714e-4	31	365	10	0.0273972602739726	0.3225806451612903	GO:0002181	GO:BP	cytoplasmic translation	9885	736	
down_degIDs_12hrs	TRUE	1.2781701239769126e-4	88	365	16	0.043835616438356165	0.18181818181818182	GO:0006364	GO:BP	rRNA processing	9885	2163	
